,Value
34923,3/78
34924,12/4
34925,930/1
34926,82/13
34927,8/507
34928,57/3
34929,9/92
34930,8/31
34931,871/6
34932,85/355
34933,89/131
34934,8/896
34935,30/69
34936,383/45
34937,2/756
34938,81/13
34939,211/105
34940,472/63
34941,4/6
34942,7/4
34943,95/63
34944,82/64
34945,22/23
34946,520/527
34947,71/724
34948,834/591
34949,748/34
34950,68/25
34951,331/5
34952,47/89
34953,22/63
34954,60/430
34955,8/6
34956,64/420
34957,8/696
34958,1/463
34959,502/130
34960,561/33
34961,229/991
34962,90/474
34963,4/43
34964,518/6
34965,4/619
34966,77/230
34967,1/1
34968,24/27
34969,928/5
34970,854/906
34971,9/496
34972,194/398
34973,85/80
34974,843/5
34975,96/73
34976,936/6
34977,7/39
34978,688/9
34979,2/86
34980,39/366
34981,139/22
34982,1/6
34983,6/6
34984,703/5
34985,26/913
34986,9/20
34987,926/35
34988,7/3
34989,5/9
34990,71/897
34991,908/5
34992,3/32
34993,43/17
34994,8/878
34995,3/3
34996,2/68
34997,2/233
34998,28/192
34999,426/737
35000,87/5
35001,591/31
35002,76/413
35003,526/9
35004,799/42
35005,507/101
35006,218/5
35007,1/1
35008,1/2
35009,153/710
35010,8/6
35011,35/282
35012,1/612
35013,2/95
35014,563/86
35015,3/76
35016,892/5
35017,9/4
35018,153/57
35019,60/791
35020,3/664
35021,92/396
35022,37/22
35023,429/39
35024,845/4
35025,517/9
35026,10/4
35027,38/6
35028,25/6
35029,372/46
35030,437/5
35031,56/57
35032,5/937
35033,3/10
35034,4/16
35035,9/33
35036,9/9
35037,2/953
35038,87/41
35039,91/7
35040,839/279
35041,3/64
35042,718/2
35043,4/49
35044,18/5
35045,576/83
35046,870/58
35047,571/190
35048,6/2
35049,78/11
35050,43/5
35051,563/303
35052,302/69
35053,740/321
35054,1/69
35055,741/2
35056,451/65
35057,6/98
35058,368/806
35059,16/39
35060,345/9
35061,509/5
35062,9/21
35063,26/4
35064,8/462
35065,86/2
35066,863/98
35067,848/1
35068,19/201
35069,9/238
35070,74/270
35071,78/93
35072,119/2
35073,61/97
35074,650/633
35075,7/9
35076,737/167
35077,29/9
35078,9/46
35079,829/107
35080,43/70
35081,4/8
35082,2/740
35083,703/20
35084,85/96
35085,73/363
35086,4/72
35087,787/2
35088,3/91
35089,73/803
35090,9/649
35091,548/62
35092,709/3
35093,146/3
35094,761/299
35095,449/948
35096,15/838
35097,351/1
35098,8/91
35099,70/68
35100,5/31
35101,2/76
35102,241/73
35103,464/722
35104,8/8
35105,79/3
35106,818/32
35107,1/81
35108,409/1
35109,76/4
35110,4/331
35111,943/1
35112,4/899
35113,23/47
35114,3/6
35115,7/25
35116,1/5
35117,7/908
35118,6/53
35119,48/37
35120,87/3
35121,7/80
35122,913/87
35123,56/251
35124,709/502
35125,4/592
35126,9/56
35127,464/4
35128,42/25
35129,14/87
35130,9/567
35131,719/5
35132,1/473
35133,84/2
35134,477/26
35135,9/172
35136,22/78
35137,93/57
35138,372/9
35139,4/376
35140,47/82
35141,30/75
35142,327/602
35143,928/28
35144,77/645
35145,6/736
35146,7/21
35147,7/62
35148,21/7
35149,423/52
35150,79/84
35151,1/139
35152,264/47
35153,7/6
35154,255/578
35155,20/87
35156,1/41
35157,41/645
35158,417/860
35159,47/99
35160,59/579
35161,27/192
35162,3/6
35163,49/47
35164,947/45
35165,4/812
35166,9/22
35167,81/8
35168,29/5
35169,437/29
35170,49/8
35171,88/913
35172,8/2
35173,212/805
35174,16/875
35175,9/348
35176,211/6
35177,5/66
35178,40/295
35179,28/3
35180,6/938
35181,9/435
35182,613/28
35183,91/9
35184,94/8
35185,31/694
35186,42/60
35187,2/33
35188,4/808
35189,8/3
35190,9/50
35191,388/1
35192,629/37
35193,69/29
35194,869/25
35195,52/10
35196,66/140
35197,45/5
35198,7/714
35199,37/7
35200,482/85
35201,812/19
35202,1/49
35203,377/627
35204,694/4
35205,94/904
35206,1/580
35207,204/7
35208,2/628
35209,4/59
35210,2/21
35211,4/619
35212,376/32
35213,33/195
35214,77/63
35215,61/784
35216,5/35
35217,64/83
35218,1/39
35219,7/293
35220,736/38
35221,33/41
35222,886/677
35223,2/1
35224,9/59
35225,78/685
35226,459/6
35227,7/551
35228,3/264
35229,6/7
35230,7/4
35231,1/300
35232,34/262
35233,651/4
35234,497/73
35235,9/70
35236,6/1
35237,593/96
35238,33/594
35239,163/1
35240,14/950
35241,85/5
35242,288/19
35243,978/14
35244,5/3
35245,8/795
35246,29/68
35247,3/654
35248,8/243
35249,246/66
35250,7/492
35251,95/85
35252,878/81
35253,33/73
35254,67/58
35255,9/88
35256,23/56
35257,4/54
35258,8/70
35259,962/31
35260,56/14
35261,97/8
35262,8/8
35263,682/356
35264,3/6
35265,359/818
35266,486/64
35267,67/66
35268,988/6
35269,7/74
35270,528/435
35271,2/1
35272,169/69
35273,2/8
35274,577/740
35275,94/4
35276,60/6
35277,9/8
35278,40/26
35279,897/10
35280,395/688
35281,4/985
35282,4/2
35283,28/68
35284,279/911
35285,2/4
35286,535/83
35287,2/9
35288,13/83
35289,92/931
35290,635/21
35291,10/481
35292,757/242
35293,23/3
35294,5/10
35295,426/2
35296,349/45
35297,85/856
35298,34/5
35299,8/23
35300,1/795
35301,48/7
35302,7/569
35303,65/73
35304,2/90
35305,413/692
35306,267/36
35307,6/7
35308,657/2
35309,60/56
35310,611/60
35311,85/43
35312,4/86
35313,608/9
35314,976/6
35315,112/5
35316,4/199
35317,2/266
35318,57/65
35319,69/2
35320,4/86
35321,67/27
35322,98/696
35323,40/9
35324,3/20
35325,7/5
35326,63/6
35327,483/356
35328,42/9
35329,25/2
35330,64/343
35331,5/41
35332,38/90
35333,141/87
35334,2/1
35335,5/88
35336,3/46
35337,466/34
35338,9/85
35339,36/252
35340,94/419
35341,1/776
35342,2/109
35343,75/58
35344,967/3
35345,8/2
35346,25/7
35347,5/74
35348,1/893
35349,114/806
35350,7/668
35351,78/991
35352,13/11
35353,90/483
35354,8/17
35355,3/6
35356,798/659
35357,60/3
35358,238/5
35359,91/71
35360,3/5
35361,981/85
35362,88/30
35363,2/464
35364,65/7
35365,628/61
35366,866/95
35367,18/829
35368,1/940
35369,61/828
35370,6/275
35371,741/6
35372,602/855
35373,1/2
35374,2/39
35375,28/649
35376,242/401
35377,5/7
35378,5/330
35379,54/554
35380,95/3
35381,3/108
35382,276/581
35383,6/871
35384,210/9
35385,7/2
35386,427/116
35387,331/4
35388,3/55
35389,30/429
35390,98/69
35391,5/185
35392,61/280
35393,1/1
35394,540/8
35395,9/3
35396,4/652
35397,5/3
35398,12/3
35399,43/41
35400,64/68
35401,21/3
35402,368/31
35403,4/653
35404,292/514
35405,36/7
35406,76/63
35407,811/37
35408,601/1
35409,36/6
35410,13/943
35411,1/13
35412,128/56
35413,25/27
35414,34/71
35415,3/954
35416,869/7
35417,65/79
35418,6/8
35419,5/69
35420,263/5
35421,9/420
35422,282/90
35423,4/432
35424,54/49
35425,262/2
35426,80/56
35427,6/74
35428,69/94
35429,4/539
35430,679/610
35431,19/1
35432,90/753
35433,139/7
35434,4/235
35435,5/11
35436,7/3
35437,32/815
35438,408/648
35439,72/949
35440,919/6
35441,625/505
35442,511/50
35443,9/69
35444,94/87
35445,60/7
35446,13/58
35447,1/5
35448,69/6
35449,263/614
35450,917/65
35451,571/57
35452,7/2
35453,896/128
35454,4/75
35455,735/91
35456,3/88
35457,28/5
35458,7/655
35459,14/4
35460,69/27
35461,4/1
35462,485/919
35463,53/65
35464,1/621
35465,2/78
35466,60/631
35467,156/924
35468,6/995
35469,37/98
35470,9/136
35471,1/1
35472,33/88
35473,934/11
35474,667/99
35475,9/593
35476,6/6
35477,629/4
35478,5/401
35479,73/755
35480,96/3
35481,260/79
35482,8/4
35483,27/2
35484,2/6
35485,58/104
35486,576/925
35487,863/4
35488,96/94
35489,40/2
35490,7/9
35491,371/4
35492,878/5
35493,748/8
35494,376/612
35495,3/576
35496,5/44
35497,372/909
35498,45/2
35499,578/666
35500,524/233
35501,29/588
35502,8/53
35503,6/46
35504,6/473
35505,4/73
35506,9/259
35507,825/83
35508,7/632
35509,42/51
35510,65/99
35511,394/237
35512,43/65
35513,12/2
35514,636/3
35515,4/6
35516,3/9
35517,7/988
35518,12/303
35519,16/668
35520,2/1
35521,40/707
35522,2/91
35523,60/2
35524,8/89
35525,57/25
35526,754/3
35527,601/8
35528,163/9
35529,7/33
35530,474/88
35531,36/893
35532,357/7
35533,442/91
35534,92/3
35535,93/22
35536,373/3
35537,85/30
35538,92/164
35539,65/744
35540,19/93
35541,247/2
35542,9/3
35543,4/73
35544,16/406
35545,9/2
35546,5/8
35547,674/65
35548,244/8
35549,64/125
35550,301/4
35551,294/3
35552,2/97
35553,507/6
35554,23/6
35555,64/97
35556,98/8
35557,60/14
35558,2/572
35559,4/723
35560,146/898
35561,6/730
35562,3/9
35563,2/146
35564,938/6
35565,9/693
35566,616/5
35567,5/93
35568,765/598
35569,97/9
35570,11/32
35571,59/885
35572,394/350
35573,92/5
35574,535/560
35575,5/8
35576,771/754
35577,46/8
35578,30/5
35579,94/9
35580,1/937
35581,27/7
35582,5/157
35583,759/2
35584,875/38
35585,320/4
35586,460/165
35587,993/5
35588,36/3
35589,880/4
35590,4/95
35591,369/76
35592,72/293
35593,2/562
35594,7/5
35595,97/8
35596,4/80
35597,342/53
35598,2/557
35599,35/4
35600,210/98
35601,2/5
35602,55/358
35603,10/883
35604,20/6
35605,7/1
35606,1/847
35607,863/388
35608,608/9
35609,855/902
35610,649/6
35611,499/4
35612,16/38
35613,108/8
35614,39/499
35615,526/614
35616,61/35
35617,8/6
35618,2/318
35619,41/25
35620,4/8
35621,41/50
35622,92/34
35623,8/8
35624,40/867
35625,61/52
35626,3/36
35627,38/443
35628,15/7
35629,491/21
35630,450/99
35631,97/142
35632,20/632
35633,61/3
35634,8/7
35635,758/651
35636,790/711
35637,3/6
35638,537/455
35639,3/890
35640,5/12
35641,1/921
35642,4/6
35643,7/4
35644,74/43
35645,946/3
35646,762/57
35647,6/49
35648,2/9
35649,89/36
35650,76/3
35651,172/63
35652,10/11
35653,558/5
35654,9/2
35655,735/468
35656,78/866
35657,4/74
35658,76/90
35659,6/103
35660,580/919
35661,3/116
35662,7/50
35663,650/1
35664,3/3
35665,32/70
35666,763/215
35667,7/99
35668,82/763
35669,63/9
35670,8/513
35671,750/38
35672,4/375
35673,59/117
35674,28/480
35675,438/7
35676,74/441
35677,418/270
35678,24/866
35679,5/9
35680,150/41
35681,21/7
35682,2/734
35683,72/72
35684,682/8
35685,21/5
35686,3/161
35687,5/64
35688,51/9
35689,393/639
35690,373/6
35691,65/34
35692,22/942
35693,145/863
35694,8/263
35695,855/74
35696,6/198
35697,8/35
35698,255/7
35699,30/81
35700,5/2
35701,82/43
35702,9/2
35703,129/8
35704,1/1
35705,14/6
35706,9/174
35707,967/9
35708,3/35
35709,747/62
35710,79/397
35711,8/344
35712,7/13
35713,27/93
35714,794/3
35715,390/67
35716,85/67
35717,6/5
35718,8/16
35719,984/330
35720,1/333
35721,102/569
35722,79/271
35723,86/375
35724,418/802
35725,585/57
35726,4/5
35727,773/8
35728,13/79
35729,76/28
35730,6/378
35731,42/133
35732,39/7
35733,306/35
35734,9/732
35735,28/619
35736,5/819
35737,5/29
35738,87/67
35739,950/78
35740,266/3
35741,39/90
35742,987/90
35743,56/14
35744,51/94
35745,7/78
35746,388/739
35747,4/199
35748,7/4
35749,226/97
35750,41/709
35751,7/56
35752,6/3
35753,850/348
35754,672/59
35755,84/25
35756,1/3
35757,566/331
35758,10/82
35759,183/5
35760,998/701
35761,83/75
35762,440/475
35763,15/5
35764,2/123
35765,985/5
35766,69/94
35767,18/9
35768,8/55
35769,6/6
35770,4/190
35771,33/209
35772,55/474
35773,86/52
35774,135/374
35775,3/328
35776,93/83
35777,55/60
35778,829/20
35779,3/94
35780,757/951
35781,6/325
35782,921/86
35783,2/744
35784,965/9
35785,275/501
35786,26/32
35787,5/7
35788,132/10
35789,323/8
35790,6/15
35791,23/79
35792,2/7
35793,87/781
35794,80/89
35795,61/50
35796,26/9
35797,5/18
35798,203/7
35799,500/3
35800,34/45
35801,522/4
35802,8/301
35803,49/851
35804,993/391
35805,452/8
35806,139/49
35807,9/28
35808,459/9
35809,37/50
35810,1/29
35811,42/3
35812,901/5
35813,4/5
35814,7/5
35815,71/425
35816,38/6
35817,132/668
35818,49/226
35819,6/19
35820,7/8
35821,4/964
35822,86/560
35823,6/913
35824,996/57
35825,7/3
35826,45/205
35827,8/122
35828,493/881
35829,7/8
35830,6/52
35831,6/75
35832,7/673
35833,29/39
35834,2/945
35835,1/1
35836,61/1
35837,76/192
35838,59/63
35839,594/909
35840,15/5
35841,59/619
35842,3/16
35843,3/726
35844,49/21
35845,3/6
35846,88/719
35847,85/18
35848,54/12
35849,3/3
35850,2/37
35851,564/521
35852,545/5
35853,2/478
35854,43/6
35855,994/32
35856,91/798
35857,539/39
35858,83/478
35859,3/189
35860,9/44
35861,27/887
35862,21/6
35863,349/47
35864,56/4
35865,9/149
35866,6/75
35867,9/8
35868,38/286
35869,19/710
35870,893/6
35871,632/5
35872,960/1
35873,617/491
35874,870/4
35875,594/26
35876,752/5
35877,73/2
35878,431/632
35879,59/66
35880,7/170
35881,903/112
35882,263/849
35883,6/82
35884,27/726
35885,461/99
35886,1/462
35887,19/6
35888,98/63
35889,722/524
35890,424/16
35891,7/919
35892,69/1
35893,72/5
35894,698/3
35895,6/7
35896,75/977
35897,527/111
35898,44/321
35899,209/659
35900,193/955
35901,5/886
35902,576/892
35903,7/33
35904,283/226
35905,43/7
35906,288/570
35907,13/83
35908,402/70
35909,2/359
35910,97/787
35911,690/92
35912,6/64
35913,95/2
35914,717/20
35915,376/235
35916,9/9
35917,877/20
35918,22/1
35919,15/92
35920,187/259
35921,8/37
35922,9/301
35923,1/95
35924,906/1
35925,2/94
35926,29/1
35927,7/99
35928,11/270
35929,57/21
35930,91/8
35931,740/9
35932,924/112
35933,1/365
35934,275/6
35935,31/779
35936,475/113
35937,61/1
35938,4/9
35939,21/874
35940,8/82
35941,9/160
35942,61/137
35943,29/968
35944,63/379
35945,61/17
35946,884/46
35947,18/18
35948,63/457
35949,772/80
35950,1/93
35951,49/666
35952,26/526
35953,12/75
35954,28/6
35955,5/839
35956,23/57
35957,521/72
35958,58/108
35959,70/74
35960,626/82
35961,331/1
35962,724/2
35963,19/324
35964,93/486
35965,43/6
35966,3/911
35967,219/55
35968,8/691
35969,39/9
35970,83/3
35971,272/22
35972,4/153
35973,4/99
35974,680/2
35975,7/515
35976,79/729
35977,33/34
35978,35/966
35979,2/813
35980,57/306
35981,63/8
35982,2/11
35983,936/50
35984,66/5
35985,872/942
35986,8/57
35987,596/784
35988,22/2
35989,717/530
35990,7/2
35991,62/623
35992,52/33
35993,14/8
35994,212/883
35995,95/81
35996,466/68
35997,592/196
35998,3/43
35999,3/8
36000,682/2
36001,24/515
36002,6/7
36003,13/972
36004,305/493
36005,197/7
36006,985/3
36007,4/3
36008,64/508
36009,2/5
36010,14/934
36011,2/12
36012,740/17
36013,8/3
36014,38/53
36015,95/96
36016,7/6
36017,96/810
36018,628/61
36019,8/52
36020,49/29
36021,2/59
36022,512/66
36023,24/465
36024,23/81
36025,544/3
36026,49/1
36027,321/705
36028,384/22
36029,4/631
36030,70/9
36031,442/646
36032,792/855
36033,91/8
36034,6/6
36035,76/5
36036,467/7
36037,8/2
36038,515/9
36039,375/1
36040,44/42
36041,11/62
36042,4/667
36043,87/872
36044,396/835
36045,48/753
36046,372/851
36047,23/55
36048,1/6
36049,1/287
36050,701/150
36051,803/2
36052,3/503
36053,7/70
36054,300/217
36055,605/4
36056,8/54
36057,4/471
36058,7/42
36059,5/52
36060,53/922
36061,168/1
36062,86/772
36063,4/61
36064,539/571
36065,93/51
36066,4/95
36067,80/9
36068,28/400
36069,498/64
36070,2/2
36071,40/974
36072,477/2
36073,39/51
36074,776/4
36075,832/665
36076,48/5
36077,8/585
36078,871/79
36079,2/361
36080,9/5
36081,70/33
36082,91/9
36083,525/3
36084,71/88
36085,1/543
36086,5/551
36087,824/68
36088,93/305
36089,856/329
36090,65/85
36091,466/30
36092,565/19
36093,91/192
36094,566/170
36095,571/4
36096,18/638
36097,579/2
36098,56/8
36099,673/72
36100,6/57
36101,55/1
36102,21/74
36103,9/9
36104,52/769
36105,1/5
36106,7/414
36107,969/29
36108,119/322
36109,218/52
36110,5/9
36111,8/612
36112,537/3
36113,405/415
36114,2/64
36115,8/223
36116,80/801
36117,17/9
36118,53/833
36119,98/92
36120,1/2
36121,27/28
36122,149/815
36123,65/1
36124,92/6
36125,1/68
36126,83/1
36127,5/527
36128,7/5
36129,81/7
36130,502/39
36131,265/76
36132,2/8
36133,1/386
36134,469/319
36135,19/428
36136,5/38
36137,411/924
36138,81/731
36139,570/76
36140,6/231
36141,141/83
36142,86/614
36143,704/53
36144,41/359
36145,85/8
36146,11/381
36147,878/869
36148,40/98
36149,910/720
36150,990/141
36151,2/8
36152,65/18
36153,32/2
36154,89/248
36155,65/453
36156,57/87
36157,73/809
36158,3/752
36159,14/62
36160,4/2
36161,975/214
36162,41/47
36163,4/9
36164,2/5
36165,180/6
36166,2/72
36167,954/912
36168,5/7
36169,9/553
36170,9/9
36171,7/45
36172,53/981
36173,162/902
36174,4/7
36175,7/415
36176,5/717
36177,49/21
36178,62/181
36179,729/647
36180,28/71
36181,91/484
36182,2/60
36183,459/59
36184,53/33
36185,98/590
36186,6/946
36187,9/7
36188,179/2
36189,81/730
36190,2/583
36191,2/35
36192,70/46
36193,3/57
36194,89/5
36195,9/418
36196,2/3
36197,306/942
36198,599/21
36199,8/1
36200,56/649
36201,6/161
36202,1/328
36203,59/18
36204,81/3
36205,573/454
36206,90/78
36207,690/574
36208,174/52
36209,7/231
36210,223/6
36211,447/7
36212,2/716
36213,3/51
36214,654/529
36215,1/698
36216,534/919
36217,6/9
36218,69/32
36219,90/8
36220,82/1
36221,6/5
36222,396/1
36223,5/538
36224,723/458
36225,1/59
36226,10/14
36227,7/62
36228,1/61
36229,4/6
36230,380/202
36231,4/57
36232,801/5
36233,84/30
36234,333/100
36235,436/48
36236,86/775
36237,4/365
36238,42/16
36239,3/207
36240,226/59
36241,4/77
36242,37/184
36243,99/78
36244,409/978
36245,690/682
36246,443/455
36247,6/764
36248,6/763
36249,9/26
36250,90/7
36251,15/514
36252,87/752
36253,38/1
36254,657/7
36255,6/3
36256,4/4
36257,83/603
36258,32/1
36259,188/887
36260,659/756
36261,694/153
36262,51/22
36263,29/1
36264,81/9
36265,3/1
36266,702/11
36267,193/5
36268,10/1
36269,1/906
36270,666/67
36271,7/854
36272,84/2
36273,65/207
36274,65/3
36275,755/57
36276,468/6
36277,8/65
36278,476/84
36279,39/19
36280,6/251
36281,346/86
36282,8/44
36283,681/549
36284,45/99
36285,11/261
36286,507/681
36287,481/7
36288,44/3
36289,130/132
36290,76/90
36291,8/757
36292,547/5
36293,825/43
36294,34/1
36295,28/23
36296,379/667
36297,3/89
36298,141/89
36299,695/1
36300,299/58
36301,982/1
36302,156/42
36303,176/937
36304,38/87
36305,2/268
36306,933/352
36307,7/994
36308,59/3
36309,27/5
36310,525/8
36311,936/341
36312,274/11
36313,5/21
36314,38/5
36315,740/2
36316,65/859
36317,8/382
36318,841/18
36319,6/129
36320,467/84
36321,98/81
36322,345/14
36323,86/5
36324,525/200
36325,2/79
36326,6/868
36327,622/8
36328,43/4
36329,7/426
36330,9/239
36331,471/3
36332,304/3
36333,302/5
36334,373/82
36335,852/5
36336,27/7
36337,74/57
36338,33/519
36339,507/522
36340,55/18
36341,6/540
36342,389/305
36343,643/189
36344,88/8
36345,450/9
36346,574/658
36347,8/80
36348,76/28
36349,805/7
36350,8/918
36351,34/130
36352,33/9
36353,862/1
36354,4/715
36355,95/4
36356,93/69
36357,8/814
36358,3/717
36359,469/5
36360,6/57
36361,8/679
36362,709/203
36363,43/46
36364,1/376
36365,3/318
36366,37/36
36367,8/839
36368,533/454
36369,945/95
36370,17/2
36371,92/85
36372,1/43
36373,66/6
36374,96/7
36375,9/10
36376,238/1
36377,9/56
36378,364/40
36379,34/407
36380,71/673
36381,62/62
36382,33/1
36383,6/742
36384,3/9
36385,8/66
36386,28/8
36387,42/558
36388,31/98
36389,401/330
36390,3/56
36391,823/7
36392,8/16
36393,764/6
36394,66/6
36395,3/43
36396,310/540
36397,5/5
36398,858/9
36399,267/58
36400,3/61
36401,334/3
36402,2/8
36403,987/39
36404,76/1
36405,6/896
36406,39/7
36407,21/541
36408,455/6
36409,370/9
36410,256/21
36411,4/80
36412,9/2
36413,2/19
36414,2/15
36415,128/907
36416,847/843
36417,298/58
36418,6/796
36419,24/426
36420,34/926
36421,6/16
36422,27/725
36423,9/62
36424,575/103
36425,7/3
36426,475/5
36427,50/6
36428,4/93
36429,9/418
36430,310/3
36431,35/43
36432,559/8
36433,875/4
36434,419/414
36435,5/9
36436,32/4
36437,913/83
36438,3/1
36439,28/7
36440,29/93
36441,490/9
36442,8/8
36443,857/733
36444,98/331
36445,8/47
36446,2/6
36447,89/7
36448,51/5
36449,513/8
36450,74/999
36451,32/51
36452,4/816
36453,9/592
36454,338/2
36455,9/69
36456,28/733
36457,1/600
36458,85/4
36459,663/1
36460,3/6
36461,3/259
36462,70/66
36463,428/3
36464,8/820
36465,84/7
36466,19/337
36467,45/546
36468,3/547
36469,8/7
36470,198/39
36471,98/781
36472,58/49
36473,7/789
36474,233/485
36475,58/9
36476,152/446
36477,3/49
36478,943/183
36479,895/806
36480,70/18
36481,615/98
36482,1/15
36483,3/2
36484,410/1
36485,16/55
36486,6/21
36487,743/28
36488,2/19
36489,17/64
36490,635/79
36491,505/713
36492,373/50
36493,9/1
36494,21/24
36495,5/185
36496,848/767
36497,46/11
36498,84/20
36499,313/988
36500,2/3
36501,43/988
36502,759/675
36503,318/80
36504,55/544
36505,9/7
36506,449/2
36507,225/86
36508,386/5
36509,339/30
36510,203/588
36511,4/9
36512,600/90
36513,1/579
36514,41/78
36515,957/25
36516,92/78
36517,3/839
36518,22/31
36519,8/640
36520,644/64
36521,231/5
36522,583/57
36523,1/954
36524,586/85
36525,8/84
36526,677/4
36527,4/3
36528,72/8
36529,51/42
36530,917/453
36531,57/501
36532,858/9
36533,23/6
36534,90/857
36535,8/35
36536,565/175
36537,34/15
36538,7/28
36539,930/43
36540,49/79
36541,408/6
36542,736/80
36543,136/449
36544,694/438
36545,356/29
36546,87/507
36547,57/6
36548,9/238
36549,35/178
36550,7/163
36551,94/57
36552,98/15
36553,146/26
36554,40/430
36555,414/36
36556,8/104
36557,346/1
36558,938/3
36559,759/879
36560,20/59
36561,335/3
36562,595/79
36563,500/5
36564,6/180
36565,931/8
36566,45/1
36567,34/300
36568,69/1
36569,196/121
36570,67/6
36571,58/35
36572,454/1
36573,942/3
36574,92/65
36575,96/2
36576,491/4
36577,6/8
36578,126/387
36579,22/534
36580,9/829
36581,2/462
36582,3/723
36583,31/24
36584,805/90
36585,57/1
36586,29/26
36587,8/37
36588,276/936
36589,756/32
36590,1/426
36591,821/68
36592,2/23
36593,63/1
36594,5/9
36595,4/824
36596,10/4
36597,663/49
36598,84/29
36599,80/767
36600,328/4
36601,627/29
36602,147/98
36603,5/9
36604,820/2
36605,8/6
36606,992/7
36607,621/65
36608,3/8
36609,7/70
36610,486/12
36611,54/12
36612,528/43
36613,2/2
36614,40/8
36615,62/9
36616,7/7
36617,777/2
36618,697/6
36619,4/28
36620,45/15
36621,6/33
36622,1/1
36623,42/36
36624,92/56
36625,96/3
36626,1/558
36627,384/38
36628,533/5
36629,214/289
36630,85/94
36631,43/82
36632,78/406
36633,807/4
36634,889/254
36635,11/936
36636,423/607
36637,42/414
36638,96/910
36639,95/9
36640,9/792
36641,76/67
36642,153/182
36643,4/68
36644,26/150
36645,7/4
36646,35/683
36647,42/7
36648,1/379
36649,861/43
36650,63/17
36651,654/879
36652,137/98
36653,42/7
36654,931/518
36655,471/636
36656,4/3
36657,49/27
36658,76/21
36659,5/187
36660,594/99
36661,51/5
36662,34/53
36663,508/5
36664,89/6
36665,8/541
36666,9/4
36667,4/69
36668,37/87
36669,9/7
36670,91/263
36671,98/51
36672,5/5
36673,556/377
36674,2/807
36675,6/508
36676,603/1
36677,75/131
36678,643/433
36679,274/575
36680,494/3
36681,80/541
36682,9/721
36683,5/202
36684,885/7
36685,8/618
36686,66/510
36687,93/82
36688,2/49
36689,719/6
36690,71/203
36691,6/889
36692,61/581
36693,52/88
36694,3/53
36695,854/1
36696,5/10
36697,5/5
36698,582/976
36699,756/347
36700,479/45
36701,817/414
36702,639/24
36703,285/230
36704,767/7
36705,10/5
36706,51/837
36707,33/90
36708,793/35
36709,49/506
36710,999/408
36711,130/790
36712,9/51
36713,774/84
36714,992/9
36715,76/7
36716,9/88
36717,279/61
36718,6/78
36719,39/3
36720,64/975
36721,257/669
36722,898/378
36723,53/873
36724,90/54
36725,46/5
36726,53/33
36727,63/8
36728,13/1
36729,53/57
36730,2/13
36731,4/57
36732,32/84
36733,4/5
36734,36/561
36735,252/30
36736,837/58
36737,50/760
36738,777/1
36739,272/503
36740,22/68
36741,8/5
36742,7/63
36743,4/12
36744,462/5
36745,5/2
36746,5/3
36747,676/975
36748,42/909
36749,87/32
36750,8/327
36751,16/19
36752,197/345
36753,13/1
36754,13/343
36755,944/85
36756,71/4
36757,8/6
36758,1/5
36759,72/180
36760,3/621
36761,46/47
36762,5/5
36763,2/1
36764,86/897
36765,1/87
36766,4/1
36767,4/302
36768,54/510
36769,37/39
36770,6/60
36771,51/630
36772,7/58
36773,787/49
36774,970/174
36775,38/9
36776,9/8
36777,158/246
36778,318/6
36779,4/3
36780,828/79
36781,530/90
36782,2/91
36783,886/2
36784,40/983
36785,1/627
36786,96/36
36787,140/6
36788,25/6
36789,53/8
36790,1/965
36791,925/999
36792,6/3
36793,59/321
36794,728/521
36795,51/78
36796,22/97
36797,8/574
36798,910/8
36799,519/2
36800,27/4
36801,91/527
36802,138/9
36803,2/607
36804,445/56
36805,13/28
36806,11/3
36807,257/614
36808,43/69
36809,163/33
36810,30/34
36811,927/462
36812,493/645
36813,14/725
36814,302/5
36815,59/2
36816,659/7
36817,214/700
36818,735/9
36819,81/3
36820,613/67
36821,418/2
36822,31/771
36823,76/1
36824,636/995
36825,15/7
36826,68/72
36827,45/29
36828,4/3
36829,37/43
36830,90/67
36831,7/935
36832,88/61
36833,363/151
36834,9/24
36835,1/8
36836,419/9
36837,17/82
36838,1/1
36839,8/71
36840,736/722
36841,2/1
36842,4/746
36843,353/664
36844,96/283
36845,668/787
36846,968/784
36847,10/76
36848,535/414
36849,377/7
36850,488/3
36851,2/52
36852,128/9
36853,299/529
36854,215/69
36855,517/479
36856,97/1
36857,10/980
36858,678/364
36859,8/675
36860,31/546
36861,9/65
36862,2/44
36863,6/71
36864,17/87
36865,1/6
36866,35/467
36867,34/25
36868,1/877
36869,68/3
36870,830/28
36871,537/557
36872,6/35
36873,978/82
36874,57/4
36875,990/53
36876,487/8
36877,660/98
36878,77/974
36879,5/7
36880,10/721
36881,987/884
36882,8/3
36883,567/787
36884,968/98
36885,37/8
36886,1/1
36887,2/498
36888,92/35
36889,35/8
36890,7/9
36891,5/592
36892,9/4
36893,7/6
36894,272/80
36895,570/573
36896,2/2
36897,10/33
36898,19/49
36899,4/64
36900,8/211
36901,37/27
36902,53/30
36903,6/4
36904,3/476
36905,67/52
36906,69/24
36907,67/97
36908,879/327
36909,68/76
36910,8/534
36911,2/74
36912,848/390
36913,602/79
36914,6/196
36915,522/2
36916,855/9
36917,96/497
36918,91/57
36919,3/1
36920,813/3
36921,9/840
